exp,model,scale,trt,component,estimate,SE,t,df,p,sig,adj_p,adj_sig
RTX,score~(1|patient_id)+tp*sss,HAMD,E,tpwk6,-4.48,1.06,-4.21,25,<0.001,***,0.002,**
RTX,score~(1|patient_id)+tp*sss,HAMD,E,sss,-0.06,0.08,-0.78,49.08,0.438,,1,
RTX,score~(1|patient_id)+tp*sss,HAMD,E,tpwk6:sss,0.09,0.11,0.84,25,0.411,,1,
RTX,score~(1|patient_id)+tp*sss,HAMD,P,(Intercept),19.14,0.67,28.55,49.56,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,HAMD,P,tpwk6,-10.73,0.92,-11.67,26.03,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,HAMD,P,sss,0.01,0.07,0.12,49.56,0.903,,1,
RTX,score~(1|patient_id)+tp*sss,HAMD,P,tpwk6:sss,-0.33,0.09,-3.76,25.65,0.001,***,0.005,**
RTX,score~(1|patient_id)+tp*sss,BDI,E,(Intercept),29.3,1.7,17.27,42.22,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,BDI,E,tpwk6,-10.33,1.81,-5.7,25,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,BDI,E,sss,0.05,0.17,0.3,42.22,0.767,,1,
RTX,score~(1|patient_id)+tp*sss,BDI,E,tpwk6:sss,0.1,0.18,0.56,25,0.579,,1,
RTX,score~(1|patient_id)+tp*sss,BDI,P,(Intercept),29.18,1.53,19.06,49.75,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,BDI,P,tpwk6,-18.32,1.92,-9.54,26,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,BDI,P,sss,0.03,0.15,0.22,49.75,0.824,,1,
RTX,score~(1|patient_id)+tp*sss,BDI,P,tpwk6:sss,-0.69,0.19,-3.69,26,0.001,**,0.006,**
RTX,score~(1|patient_id)+tp*sss,MADRS,E,(Intercept),27.04,1.26,21.48,46.51,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,MADRS,E,tpwk6,-6.33,1.52,-4.17,25,<0.001,***,0.002,**
RTX,score~(1|patient_id)+tp*sss,MADRS,E,sss,-0.22,0.13,-1.78,46.51,0.081,,0.487,
RTX,score~(1|patient_id)+tp*sss,MADRS,E,tpwk6:sss,0.28,0.15,1.81,25,0.082,,0.49,
RTX,score~(1|patient_id)+tp*sss,MADRS,P,(Intercept),27.89,1.2,23.32,43.98,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,MADRS,P,tpwk6,-14.65,1.37,-10.69,24.89,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,MADRS,P,sss,0.02,0.12,0.15,43.98,0.883,,1,
RTX,score~(1|patient_id)+tp*sss,MADRS,P,tpwk6:sss,-0.61,0.13,-4.65,24.58,<0.001,***,0.001,***
RTX,score~(1|patient_id)+tp*sss,QIDS,E,(Intercept),16.7,0.92,18.12,42.67,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,QIDS,E,tpwk6,-6.11,1,-6.13,25,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,QIDS,E,sss,0,0.09,-0.04,42.67,0.967,,1,
RTX,score~(1|patient_id)+tp*sss,QIDS,E,tpwk6:sss,0.11,0.1,1.07,25,0.293,,1,
RTX,score~(1|patient_id)+tp*sss,QIDS,P,(Intercept),14.82,0.82,18.06,49.7,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,QIDS,P,tpwk6,-7.89,1.03,-7.68,26,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,QIDS,P,sss,-0.04,0.08,-0.56,49.7,0.578,,1,
RTX,score~(1|patient_id)+tp*sss,QIDS,P,tpwk6:sss,-0.32,0.1,-3.19,26,0.004,**,0.022,*
RTX,score~(1|patient_id)+tp*sss,STAIT,E,(Intercept),66.07,1.56,42.25,42.71,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,STAIT,E,tpwk6,-8.19,1.69,-4.83,25,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,STAIT,E,sss,0.14,0.16,0.91,42.71,0.366,,1,
RTX,score~(1|patient_id)+tp*sss,STAIT,E,tpwk6:sss,0.11,0.17,0.64,25,0.525,,1,
RTX,score~(1|patient_id)+tp*sss,STAIT,P,(Intercept),64.46,1.61,40.02,50.56,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,STAIT,P,tpwk6,-16.96,2.08,-8.17,26,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,STAIT,P,sss,0.2,0.16,1.3,50.56,0.2,,1,
RTX,score~(1|patient_id)+tp*sss,STAIT,P,tpwk6:sss,-0.93,0.2,-4.6,26,<0.001,***,0.001,***
RTX,score~(1|patient_id)+tp*sss,WEMWBS,E,(Intercept),30.74,1.45,21.24,42.08,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,WEMWBS,E,tpwk6,5.81,1.54,3.78,25,0.001,***,0.005,**
RTX,score~(1|patient_id)+tp*sss,WEMWBS,E,sss,0.2,0.15,1.36,42.08,0.18,,1,
RTX,score~(1|patient_id)+tp*sss,WEMWBS,E,tpwk6:sss,-0.28,0.15,-1.79,25,0.086,,0.516,
RTX,score~(1|patient_id)+tp*sss,WEMWBS,P,(Intercept),28.57,1.54,18.56,50.73,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,WEMWBS,P,tpwk6,16.14,2,8.08,26,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*sss,WEMWBS,P,sss,0.01,0.15,0.09,50.73,0.929,,1,
RTX,score~(1|patient_id)+tp*sss,WEMWBS,P,tpwk6:sss,0.62,0.19,3.2,26,0.004,**,0.022,*
AVG,score~(1|patient_id)+tp*modtas,HAMD,E,(Intercept),18.41,0.83,22.21,53.76,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,HAMD,E,tpwk6,-4.86,1.13,-4.29,27,<0.001,***,0.001,**
AVG,score~(1|patient_id)+tp*modtas,HAMD,E,modtas,0,0.06,0.07,53.76,0.946,,1,
AVG,score~(1|patient_id)+tp*modtas,HAMD,E,tpwk6:modtas,0.01,0.09,0.14,27,0.891,,1,
AVG,score~(1|patient_id)+tp*modtas,HAMD,P,(Intercept),19.2,0.73,26.34,53.83,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,HAMD,P,tpwk6,-10.87,1.02,-10.67,28.16,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,HAMD,P,modtas,0,0.04,-0.05,53.83,0.958,,1,
AVG,score~(1|patient_id)+tp*modtas,HAMD,P,tpwk6:modtas,-0.12,0.06,-1.99,27.59,0.056,,0.338,
AVG,score~(1|patient_id)+tp*modtas,BDI,E,(Intercept),28.69,1.74,16.48,45.35,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,BDI,E,tpwk6,-10.83,1.85,-5.86,27,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,BDI,E,modtas,-0.03,0.13,-0.22,45.35,0.823,,1,
AVG,score~(1|patient_id)+tp*modtas,BDI,E,tpwk6:modtas,-0.08,0.14,-0.56,27,0.578,,1,
AVG,score~(1|patient_id)+tp*modtas,BDI,P,(Intercept),29.07,1.59,18.3,54.63,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,BDI,P,tpwk6,-18.4,2.06,-8.93,28,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,BDI,P,modtas,0.04,0.1,0.39,54.63,0.696,,1,
AVG,score~(1|patient_id)+tp*modtas,BDI,P,tpwk6:modtas,-0.31,0.13,-2.5,28,0.019,*,0.112,
AVG,score~(1|patient_id)+tp*modtas,MADRS,E,(Intercept),26.86,1.34,20.06,52.7,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,MADRS,E,tpwk6,-7.03,1.74,-4.05,27,<0.001,***,0.002,**
AVG,score~(1|patient_id)+tp*modtas,MADRS,E,modtas,-0.03,0.1,-0.28,52.7,0.784,,1,
AVG,score~(1|patient_id)+tp*modtas,MADRS,E,tpwk6:modtas,0.03,0.13,0.23,27,0.819,,1,
AVG,score~(1|patient_id)+tp*modtas,MADRS,P,(Intercept),27.93,1.31,21.25,51.14,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,MADRS,P,tpwk6,-14.88,1.65,-9,27.28,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,MADRS,P,modtas,-0.01,0.08,-0.17,51.14,0.863,,1,
AVG,score~(1|patient_id)+tp*modtas,MADRS,P,tpwk6:modtas,-0.21,0.1,-2.1,26.75,0.046,*,0.274,
AVG,score~(1|patient_id)+tp*modtas,QIDS,E,(Intercept),16.45,0.94,17.45,46.46,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,QIDS,E,tpwk6,-6.38,1.03,-6.19,27,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,QIDS,E,modtas,0.02,0.07,0.25,46.46,0.801,,1,
AVG,score~(1|patient_id)+tp*modtas,QIDS,E,tpwk6:modtas,-0.07,0.08,-0.95,27,0.35,,1,
AVG,score~(1|patient_id)+tp*modtas,QIDS,P,(Intercept),14.53,0.88,16.6,53.55,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,QIDS,P,tpwk6,-7.67,1.1,-6.98,28,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,QIDS,P,modtas,-0.04,0.05,-0.72,53.55,0.476,,1,
AVG,score~(1|patient_id)+tp*modtas,QIDS,P,tpwk6:modtas,-0.1,0.07,-1.52,28,0.139,,0.831,
AVG,score~(1|patient_id)+tp*modtas,STAIT,E,(Intercept),65.62,1.72,38.04,46.26,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,STAIT,E,tpwk6,-8.97,1.88,-4.78,27,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,STAIT,E,modtas,0,0.13,-0.03,46.26,0.975,,1,
AVG,score~(1|patient_id)+tp*modtas,STAIT,E,tpwk6:modtas,0,0.14,-0.02,27,0.986,,1,
AVG,score~(1|patient_id)+tp*modtas,STAIT,P,(Intercept),64.3,1.79,35.9,56,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,STAIT,P,tpwk6,-17.13,2.53,-6.76,56,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,STAIT,P,modtas,0.06,0.11,0.58,56,0.562,,1,
AVG,score~(1|patient_id)+tp*modtas,STAIT,P,tpwk6:modtas,-0.29,0.15,-1.89,56,0.064,,0.387,
AVG,score~(1|patient_id)+tp*modtas,WEMWBS,E,(Intercept),30.79,1.45,21.22,50.14,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,WEMWBS,E,tpwk6,6.83,1.76,3.88,26.45,0.001,***,0.004,**
AVG,score~(1|patient_id)+tp*modtas,WEMWBS,E,modtas,0.16,0.11,1.51,49.75,0.137,,0.825,
AVG,score~(1|patient_id)+tp*modtas,WEMWBS,E,tpwk6:modtas,0.04,0.13,0.28,26.02,0.781,,1,
AVG,score~(1|patient_id)+tp*modtas,WEMWBS,P,(Intercept),28.6,1.68,17.01,53.5,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,WEMWBS,P,tpwk6,16.37,2.21,7.42,26.91,<0.001,***,<0.001,***
AVG,score~(1|patient_id)+tp*modtas,WEMWBS,P,modtas,0.04,0.1,0.36,53.4,0.721,,1,
AVG,score~(1|patient_id)+tp*modtas,WEMWBS,P,tpwk6:modtas,0.25,0.13,1.86,26.31,0.073,,0.441,
RTX,score~(1|patient_id)+tp*modtas,HAMD,E,(Intercept),18.41,0.83,22.21,53.76,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,HAMD,E,tpwk6,-4.86,1.13,-4.29,27,<0.001,***,0.001,**
RTX,score~(1|patient_id)+tp*modtas,HAMD,E,modtas,0,0.06,0.07,53.76,0.946,,1,
RTX,score~(1|patient_id)+tp*modtas,HAMD,E,tpwk6:modtas,0.01,0.09,0.14,27,0.891,,1,
RTX,score~(1|patient_id)+tp*modtas,HAMD,P,(Intercept),19.2,0.73,26.34,53.83,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,HAMD,P,tpwk6,-10.87,1.02,-10.67,28.16,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,HAMD,P,modtas,0,0.04,-0.05,53.83,0.958,,1,
RTX,score~(1|patient_id)+tp*modtas,HAMD,P,tpwk6:modtas,-0.12,0.06,-1.99,27.59,0.056,,0.338,
RTX,score~(1|patient_id)+tp*modtas,BDI,E,(Intercept),28.69,1.74,16.48,45.35,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,BDI,E,tpwk6,-10.83,1.85,-5.86,27,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,BDI,E,modtas,-0.03,0.13,-0.22,45.35,0.823,,1,
RTX,score~(1|patient_id)+tp*modtas,BDI,E,tpwk6:modtas,-0.08,0.14,-0.56,27,0.578,,1,
RTX,score~(1|patient_id)+tp*modtas,BDI,P,(Intercept),29.07,1.59,18.3,54.63,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,BDI,P,tpwk6,-18.4,2.06,-8.93,28,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,BDI,P,modtas,0.04,0.1,0.39,54.63,0.696,,1,
RTX,score~(1|patient_id)+tp*modtas,BDI,P,tpwk6:modtas,-0.31,0.13,-2.5,28,0.019,*,0.112,
RTX,score~(1|patient_id)+tp*modtas,MADRS,E,(Intercept),26.86,1.34,20.06,52.7,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,MADRS,E,tpwk6,-7.03,1.74,-4.05,27,<0.001,***,0.002,**
RTX,score~(1|patient_id)+tp*modtas,MADRS,E,modtas,-0.03,0.1,-0.28,52.7,0.784,,1,
RTX,score~(1|patient_id)+tp*modtas,MADRS,E,tpwk6:modtas,0.03,0.13,0.23,27,0.819,,1,
RTX,score~(1|patient_id)+tp*modtas,MADRS,P,(Intercept),27.93,1.31,21.25,51.14,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,MADRS,P,tpwk6,-14.88,1.65,-9,27.28,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,MADRS,P,modtas,-0.01,0.08,-0.17,51.14,0.863,,1,
RTX,score~(1|patient_id)+tp*modtas,MADRS,P,tpwk6:modtas,-0.21,0.1,-2.1,26.75,0.046,*,0.274,
RTX,score~(1|patient_id)+tp*modtas,QIDS,E,(Intercept),16.45,0.94,17.45,46.46,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,QIDS,E,tpwk6,-6.38,1.03,-6.19,27,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,QIDS,E,modtas,0.02,0.07,0.25,46.46,0.801,,1,
RTX,score~(1|patient_id)+tp*modtas,QIDS,E,tpwk6:modtas,-0.07,0.08,-0.95,27,0.35,,1,
RTX,score~(1|patient_id)+tp*modtas,QIDS,P,(Intercept),14.53,0.88,16.6,53.55,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,QIDS,P,tpwk6,-7.67,1.1,-6.98,28,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,QIDS,P,modtas,-0.04,0.05,-0.72,53.55,0.476,,1,
RTX,score~(1|patient_id)+tp*modtas,QIDS,P,tpwk6:modtas,-0.1,0.07,-1.52,28,0.139,,0.831,
RTX,score~(1|patient_id)+tp*modtas,STAIT,E,(Intercept),65.62,1.72,38.04,46.26,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,STAIT,E,tpwk6,-8.97,1.88,-4.78,27,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,STAIT,E,modtas,0,0.13,-0.03,46.26,0.975,,1,
RTX,score~(1|patient_id)+tp*modtas,STAIT,E,tpwk6:modtas,0,0.14,-0.02,27,0.986,,1,
RTX,score~(1|patient_id)+tp*modtas,STAIT,P,(Intercept),64.3,1.79,35.9,56,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,STAIT,P,tpwk6,-17.13,2.53,-6.76,56,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,STAIT,P,modtas,0.06,0.11,0.58,56,0.562,,1,
RTX,score~(1|patient_id)+tp*modtas,STAIT,P,tpwk6:modtas,-0.29,0.15,-1.89,56,0.064,,0.387,
RTX,score~(1|patient_id)+tp*modtas,WEMWBS,E,(Intercept),30.79,1.45,21.22,50.14,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,WEMWBS,E,tpwk6,6.83,1.76,3.88,26.45,0.001,***,0.004,**
RTX,score~(1|patient_id)+tp*modtas,WEMWBS,E,modtas,0.16,0.11,1.51,49.75,0.137,,0.825,
RTX,score~(1|patient_id)+tp*modtas,WEMWBS,E,tpwk6:modtas,0.04,0.13,0.28,26.02,0.781,,1,
RTX,score~(1|patient_id)+tp*modtas,WEMWBS,P,(Intercept),28.6,1.68,17.01,53.5,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,WEMWBS,P,tpwk6,16.37,2.21,7.42,26.91,<0.001,***,<0.001,***
RTX,score~(1|patient_id)+tp*modtas,WEMWBS,P,modtas,0.04,0.1,0.36,53.4,0.721,,1,
RTX,score~(1|patient_id)+tp*modtas,WEMWBS,P,tpwk6:modtas,0.25,0.13,1.86,26.31,0.073,,0.441,
